;dep22;dep29;dep35;dep56;dist_min
53;166699.318967123;252753.815689386;72844.2323969462;163897.953818353;72844.2323969462
54;665057.679921612;755336.372602746;579719.202563879;672088.869688833;579719.202563879
55;608443.192697703;698955.162663439;525140.645952126;618217.040936308;525140.645952126
56;66271.0862223034;103796.261907087;93892.9109572248;NA;66271.0862223034
57;702024.47800585;792544.638663865;618548.868973984;711481.363243312;618548.868973984
58;498570.09123491;580756.821877903;402628.577026246;481904.501931914;402628.577026246
59;493281.968482117;580582.146346538;434865.425820708;525480.852334156;434865.425820708
60;401572.87267612;491901.589818483;329097.681044355;422641.77491836;329097.681044355
61;221512.861389041;311825.226941255;140553.763386517;234430.264928512;140553.763386517
62;437006.547100249;522534.829194982;385728.701873364;473638.471546224;385728.701873364
63;546112.088209749;614942.366903978;452649.435925814;511180.743035148;452649.435925814
64;599666.681603907;613151.6659836;549570.7675449;535327.675367945;535327.675367945
65;644032.988579825;666188.52287011;584920.385603682;581798.900640696;581798.900640696
66;773689.580552225;812806.866704022;698497.16842259;717933.112751852;698497.16842259
67;767347.590791936;857487.664635711;681063.162929064;772913.547462728;681063.162929064
68;755216.269646947;843671.837389379;664188.217359735;752826.023680445;664188.217359735
69;635714.975932007;710899.158822537;539931.735913184;608073.693345527;539931.735913184
70;671793.983784561;759145.111994186;579160.17839489;666132.230022552;579160.17839489
71;591150.394132055;671710.019972588;494976.672136793;571372.757356467;494976.672136793
72;234284.851670426;319553.156796653;139538.937289843;226917.639216603;139538.937289843
73;779614.312195691;856430.23295369;683505.198186379;753988.597292089;683505.198186379
74;751106.945704709;831089.540230235;654907.975264458;730119.53880372;654907.975264458
75;385710.051809335;476229.743214837;303787.984762075;397444.506517653;303787.984762075
76;314472.773219551;402819.740768463;256727.02942106;346227.779149804;256727.02942106
77;427847.744042242;517892.497791593;341996.414508323;434657.871945593;341996.414508323
78;348691.485131721;439197.379940013;267011.838536228;360755.361120594;267011.838536228
79;283977.260860643;339799.177957966;203865.302551986;236980.798305475;203865.302551986
80;410200.085423802;498637.498902687;348941.550661654;440122.040968128;348941.550661654
81;647160.828340557;692282.425951041;568338.300023207;594251.752241626;568338.300023207
82;580202.788710061;620742.044861338;505848.705179822;524786.425782181;505848.705179822
83;897244.075374108;961155.82315481;805226.027286674;857658.112108039;805226.027286674
84;791227.396069806;854716.731803308;699629.710041343;751240.370204873;699629.710041343
85;229060.857579089;272714.491107767;166732.686364981;173384.646047812;166732.686364981
86;325659.29507806;389260.323641685;237367.09162026;285503.450754474;237367.09162026
87;420292.516346756;480151.061460168;333091.976552089;376932.513890754;333091.976552089
88;684484.505844291;773645.728394724;594972.55935052;685056.937430398;594972.55935052
89;482002.243107462;568985.419062843;388965.04292775;476130.566163514;388965.04292775
90;733991.416574496;821653.974407579;641746.578650027;729069.646314506;641746.578650027
91;376961.995903971;466721.739093578;290089.107548544;382560.678022114;290089.107548544
92;378555.798072152;469071.42182623;296654.467639284;390325.128063772;296654.467639284
93;396223.805847579;486799.936313338;315044.334734003;408772.504578461;315044.334734003
94;394304.685352476;484696.060156021;310950.143826162;404360.763035268;310950.143826162
95;373406.317229247;464049.86253005;295918.142856005;389804.151618078;295918.142856005
